  AÑO MES DD HHMM   SS TE     LAT     LON PROF EST RMS   MAG 
 2014  08 16 1239  2.8  L  10.526 -67.658  4.2  29 0.9 4.2Mw
 2014  08 16 1243 39.0  L  10.470 -67.648  4.7  10 0.3 3.1Mw
 2014  08 16 1248 30.7  L  10.507 -67.778 14.4   3 0.2 1.5Mw
 2014  08 16 1306 39.7  L  10.529 -67.835 16.3   3 0.2 1.3Mw
 2014  08 16 1314 19.7  L  10.595 -67.789 14.9   3 0.1 1.6Mw
 2014  08 16 1322 29.8  L  10.427 -67.647  2.0   7 0.3 2.0Mw
 2014  08 16 1351 17.7  L  10.470 -67.635  5.0F  9 0.5 2.8Mw
 2014  08 16 1357 44.6  L  10.586 -67.708  9.0   9 0.7 2.3Mw
 2014  08 16 1420 17.5  L  10.489 -67.691 10.6   5 0.2 1.7Mw
 2014  08 16 1424  6.1  L  10.550 -67.725 14.0   5 0.3 1.6Mw
 2014  08 16 1432 28.8  L  10.447 -67.652  5.0F  7 0.4 2.3Mw
 2014  08 16 1438 43.7  L  10.484 -67.678 10.9   4 0.1 1.7Mw
 2014  08 16 1438 43.8  L  10.484 -67.675 11.2   4 0.3 1.5Mw
 2014  08 16 1646  8.6  L  10.505 -67.762 15.1   3 0.1 1.7Mw
 2014  08 16 1859 23.4  L  10.490 -67.677  9.5   4 0.3 2.2Mw
 2014  08 16 2006 38.3  L  10.518 -67.702 14.1   3 0.0 1.7Mw
 2014  08 16 2116  2.1  L  10.519 -67.681  9.0   6 0.5 2.5Mw
 2014  08 17 0558 33.9  L  10.446 -67.677  8.3   4 0.2 1.7Mw
 2014  08 17 0654  3.3  L  10.503 -67.701  9.9   3 0.2 1.5Mw
 2014  08 17 0757 26.7  L  10.536 -67.662  9.2   6 0.5 2.0Mw
 2014  08 17 1331 29.9  L  10.575 -67.746 16.9   3 0.2 1.6Mw
 2014  08 18 2339 50.9  L  10.521 -67.712 12.9   6 0.4 1.9Mw
 2014  08 19 2136 46.4  L  10.516 -67.697 13.5   5 0.2 2.1Mw
 2014  08 20 1028 10.2  L  10.472 -67.695 13.0   3 0.5 1.3Mw
 2014  08 20 1111 22.7  L  10.558 -67.699 12.6   5 0.4 1.8Mw
 2014  08 21 0745 25.9  L  10.583 -67.696 12.4   3 0.4 1.7Mw
 2014  08 21 1006 14.2  L  10.518 -67.628  2.2  12 0.5 2.8Mw
 2014  08 21 2306 50.7  L  10.443 -67.620  5.0F 11 0.5 2.6Mw
 2014  08 22 0157 57.0  L  10.463 -67.635  5.0F 14 0.7 2.7Mw
 2014  08 22 0406 26.4  L  10.527 -67.743 14.4   4 0.2 1.6Mw
 2014  08 22 0603 58.0  L  10.587 -67.795 16.0   3 0.1 1.2Mw
 2014  08 23 0157 29.1  L  10.522 -67.742 13.7   3 0.1 1.4Mw
 2014  08 24 0835 58.4  L  10.509 -67.685 11.8   3 0.3 1.5Mw
 2014  08 25 1218 21.0  L  10.544 -67.733 14.6   4 0.2 1.9Mw
 2014  08 25 1223  9.6  L  10.474 -67.661  5.9   3 0.1 1.4Mw
 2014  08 25 1243 36.7  L  10.462 -67.636  5.3   4 0.4 1.8Mw
 2014  08 25 1815 41.8  L  10.450 -67.647  4.4  10 0.3 2.5Mw
 2014  08 28 0025 49.8  L  10.607 -67.695 14.0   4 0.3 1.6Mw
 2014  08 28 1825 40.5  L  10.562 -67.834 16.7   3 0.0 1.3Mw
 2014  08 29 0644 14.9  L  10.460 -67.649  1.4  13 0.7 2.6Mw

